,names.traindata.,desc
1,CRSE_GRD_OFFCL_CD*,The official grade that appears on a student's transcript which can be the translated value of Course Grade Input Code as defined by school/college grading policy or in the case of transfer credit the articulated grade to distinguish the type of credit earned.
7,CRSE_OFFER_NBR,A number which identifies each offering of a course. A course may have multiple offerings if the same course is offered by more than one department i.e: cross listing.
4,EARN_CR_IND,"A code indicating if a student's grade in the class or credits for a transferred course, count toward accumulated credit."
32,FCLTY_16MM_FILM_IND,A code indicating whether a facility has the 16mm Film (Movies) Projection room characteristic.
33,FCLTY_35MM_FILM_IND,A code indicating whether a facility has the 35mm Film (Movies) Projection room characteristic.
37,FCLTY_ADTRM_SEAT_IND,A code indicating whether a facility has the Auditorium Seating room characteristic.
38,FCLTY_ANY_TBLS_IND,A code indicating whether a facility has the Tables (Any) Seating room characteristic.
20,FCLTY_BLACK_OUT_IND,A code indicating whether a facility has the Blackout (Room Darkening) room characteristic.
26,FCLTY_CHALK_BOARD_25_FT_IND,A code indicating whether a facility has the Chalkboard Over 25 Foot Board room characteristic.
34,FCLTY_DGTL_DATA_AND_VIDEO_IND,A code indicating whether a facility has the Digital Data&Video Projection room characteristic.
31,FCLTY_DOC_CAMERA_IND,A code indicating whether a facility has the Document Camera Equipment room characteristic.
28,FCLTY_DVD_IND,A code indicating whether a facility has the DVD Player Equipment room characteristic.
30,FCLTY_LCTR_CPTR_IND,A code indicating whether a facility has the Lecture Capture Equipment room characteristic.
22,FCLTY_MAC_IND,A code indicating whether a facility has the Mac (Macintosh) Computer Classroom room characteristic.
40,FCLTY_MVBL_TBLS_CHAIR_IND,A code indicating whether a facility has the Moveable Tablet Chair Seating room characteristic.
39,FCLTY_MVBL_TBLS_IND,A code indicating whether a facility has the Tables Moveable Seating room characteristic.
21,FCLTY_PC_IND,A code indicating whether a facility has the PC (Personal Computer) Computer Classroom room characteristic.
24,FCLTY_PDM_MAC_IND,A code indicating whether a facility has the Computer Podium Mac (Macintosh) Equipment room characteristic.
23,FCLTY_PDM_PC_IND,A code indicating whether a facility has the Computer Podium PC (Personal Computer) Equipment room characteristic.
18,FCLTY_SOUND_PGM_IND,A code indicating whether a facility has the Program Sound Amplification room characteristic.
19,FCLTY_SOUND_VOICE_IND,A code indicating whether a facility has the Voice Sound Amplification room characteristic.
36,FCLTY_STAGE_IND,A code indicating whether a facility has the Stage Layout room characteristic.
41,FCLTY_TBL_CNFRNC_SMNR_IND,A code indicating whether a facility has the Table Conf/Seminar Seating room characteristic.
35,FCLTY_TIERED_FLR_IND,A code indicating whether a facility has the Tiered Floor Layout room characteristic.
27,FCLTY_VCR_IND,A code indicating whether a facility has the VCR Equipment room characteristic.
29,FCLTY_VIDEO_CNFRNC_IND,A code indicating whether a facility has the Video Conferencing Equipment room characteristic.
25,FCLTY_WHITE_BOARD_25_FT_IND,A code indicating whether a facility has the Whiteboard Over 25 Foot Board room characteristic.
53,HONORS_PGM_IND,A code indicating whether a student is enrolled in any honors program during the term.
85,HS_CALC_IND,A code indicating whether or not the student has completed high school calculus.
86,HS_CHEM_LAB_IND,A code indicating whether or not the student has completed a high school chemistry class with a laboratory.
87,HS_GPA,A number respresenting the grade point average a student earned in high school.
5,INCL_GPA_IND,A code indicating if the grade is included in the system calculated Grade Point Average.
17,INSTRN_MODE_CD,A code representing the instruction delivery method for a course.
42,MULT_CLASS_MTG_IND,A code indicating whether the class has multiple meeting patterns.
67,PREV_TERM_CUM_GPA,A number representing the student's cumulative grade point average at the end of the previous term. Note: The field will be null if the student's career level changes or there is no previous term.
58,PRMRY_CRER_CD,A code representing a student's primary career based on enrollment hours.
59,REG_STAT_CD,A code indicating the registration status of a student.
60,RES_CD,A code representing a student's residency for fee assessment purposes as defined by University policy.
50,RESCO_IND,A code indicating whether a student is a member of the Residential College Michigan Learning Community.
6,SBJCT_CD,"A code representing an aggregate of courses by instructional area, under which a particular course is offered at U of M."
8,SESSN_CD,A code representing a class scheduling/enrollment time period within a term.
84,SNGL_PRNT_IND,A code indicating whether a student was raised by a single parent. Note: This data is self- reported on the student's admission application.
51,SPPLMNT_STUDY_IND,A code indicating whether a student is enrolled in any supplemental study plans.
71,STDNT_ASIAN_IND,A code indicating whether a student has self-identified as having Asian ethnicity.
70,STDNT_BIRTH_MO,The self-reported birth month of a student.
69,STDNT_BIRTH_YR,The self-reported birth year of a student.
72,STDNT_BLACK_IND,A code indicating whether a student has self-identified as having Black ethnicity.
82,STDNT_CTZN_STAT_CD,A code representing a student's status relative to United States citizenship. A blank value in this field indicates that the data was not available in HEPROD.
77,STDNT_ETHNC_GRP_CD,A code representing a student's single race/ethnicity reporting category as defined by the federal government's reporting requirements.
68,STDNT_GNDR_CD,A code representing the gender of a student.
74,STDNT_HSPNC_IND,A code indicating whether a student has self-identified as having Hispanic ethnicity.
79,STDNT_HSPNC_LATINO_IND,A code indicating whether a student has self-identified as Hispanic or Latino using the federal data collection standards. Students who have self-identified as Hispanic or Latino will be categorized as such even if they identify other races or ethnicities within which they belong.
73,STDNT_HWIAN_IND,A code indicating whether a student has self-identified as having Hawaiian ethnicity.
78,STDNT_MULTI_ETHNC_IND,A code indicating whether a student has self-identified as more than one race/ethnicity.
75,STDNT_NTV_AMRCN_IND,A code indicating whether a student has self-identified as having Native American ethnicity.
81,STDNT_NTV_ENG_SPKR_IND,A code indicating whether a student has learned and used English from early childhood.
80,STDNT_UNDREP_MNRTY_IND,"A code indicating whether a student is considered an underrepresented minority as defined institutionally. The code is set to 'Y' when the student has an ethnicity detail code of AMIND, BLACK, PACIF, or HISPA."
76,STDNT_WHITE_IND,A code indicating whether a student has self-identified as having White ethnicity.
52,TEACH_CERT_IND,A code indicating whether a student is enrolled in any teaching certificate plans.
91,UM_GRAD_DGR_CNT,The number of graduate academic degrees a student has earned at the University of Michigan.
92,UM_GRAD_DGR_MAJOR_CNT,The number of majors within a graduate degree(s) a student has earned at the University of Michigan.
93,UM_GRAD_DGR_MINOR_CNT,The number of minors within a graduate degree(s) a student has earned at the University of Michigan.
94,UM_OTHER_DGR_CNT,The number of other (e.g. Teaching Certificates) academic degrees a student has earned at the University of Michigan.
88,UM_UG_DGR_CNT,The number of undergraduate academic degrees a student has earned at the University of Michigan.
89,UM_UG_DGR_MAJOR_CNT,The number of majors within an undergraduate degree(s) a student has earned at the University of Michigan.
90,UM_UG_DGR_MINOR_CNT,The number of minors within an undergraduate degree(s) a student has earned at the University of Michigan.
65,UNIT_TAKEN_GPA,A number representing the number of credit hours taken that count toward grade point average for the term. This includes UNT_INPROG_GPA and UNT_PASSD_GPA.
66,UNIT_TAKEN_NO_GPA,A number representing the number of credit hours taken that do not count toward grade point average for the term. This includes UNT_INPROG_NOGPA and UNT_PASSD_NOGPA.
3,UNITS_ERND_NBR,A number representing the total credit hours earned by a student in a particular course which are applicable toward a degree or certificate within a given program.
2,UNITS_TAKEN_NBR,A number reflecting the specific credit hours elected by a student for each unique section within a course. This is also the number of units included in the Grade Point Average calculation when the course is included in the Grade Point Average.
